"bandName","showDate","capacity","attendance","city","phone"
"Alanis Morissette (MH)","2024-06-09",0,0,"Phoenix",""
"Alanis Morissette (MH)","2024-06-12",0,0,"Austin",
"Alanis Morissette (MH)","2024-06-14",0,0,"Dallas",""
"Alanis Morissette (MH)","2024-06-16",16500,0,"Spring","281-363-3300"
"Alanis Morissette (MH)","2024-06-19",20000,0,"Tampa","813-389-3145"
"Alanis Morissette (MH)","2024-06-20",8500,0,"West Palm Beach","954-599-9033"
"Alanis Morissette (MH)","2024-06-22",12000,0,"Alpharetta","404-644-0921"
"Alanis Morissette (MH)","2024-06-23",20000,0,"Nashville","(615) 770-2000"
"Alanis Morissette (MH)","2024-06-26",18500,0,"Charlotte","704-200-5450"
"Alanis Morissette (MH)","2024-06-27",19000,0,"Raleigh","704-200-5450"
"Alanis Morissette (MH)","2024-06-29",24000,0,"Columbia","(410) 715-5550"
"Alanis Morissette (MH)","2024-06-30",24000,0,"Columbia","(410) 715-5550"
"Alanis Morissette (MH)","2024-07-02",25000,0,"Camden",""
"Alanis Morissette (MH)","2024-07-03",18000,0,"Holmdel","301-442-6866"
"Alanis Morissette (MH)","2024-07-05",15000,0,"Bethel","(866) 781-2922"
"Alanis Morissette (MH)","2024-07-06",21000,0,"Hartford",""
"Alanis Morissette (MH)","2024-07-09",20000,0,"Mansfield","15088646974"
"Alanis Morissette (MH)","2024-07-10",15000,0,"Wantagh",""
"Alanis Morissette (MH)","2024-07-13",16400,0,"Toronto","4162605700 EXT37831"
"Alanis Morissette (MH)","2024-07-14",16400,0,"Toronto","4162605700 EXT37831"
"Alanis Morissette (MH)","2024-07-16",0,0,"Village of Clarkston",
"Alanis Morissette (MH)","2024-07-17",20000,0,"Cuyahoga Falls",""
"Alanis Morissette (MH)","2024-07-23",20000,0,"Maryland Heights","(314) 298-9944"
"Alanis Morissette (MH)","2024-07-24",16000,0,"Cincinnati","(513) 232-6220"
"Alanis Morissette (MH)","2024-07-27",24000,0,"Noblesville",""
"Alanis Morissette (MH)","2024-07-28",0,0,"Milwaukee",""
"Alanis Morissette (MH)","2024-07-31",20000,0,"Denver","303) 405-1100"
"Alanis Morissette (MH)","2024-08-01",0,0,"West Valley City",
"Alanis Morissette (MH)","2024-08-03",20000,0,"Auburn","(360) 825-6200"
"Alanis Morissette (MH)","2024-08-04",19980,0,"Portland",""
"Alanis Morissette (MH)","2024-08-07",22000,0,"Mountain View",""
"Alanis Morissette (MH)","2024-08-08",9360,0,"Thousand Palms",""
"Alanis Morissette (MH)","2024-08-10",12000,0,"Inglewood","909-215-4527"
"Alice in Chains (MH)","2024-04-27",10000,0,"Las Vegas",""
"B 52's","2024-04-12",1800,1300,"Las Vegas",""
"B 52's","2024-04-13",1800,1542,"Las Vegas",""
"B 52's","2024-04-17",1800,1516,"Las Vegas",""
"B 52's","2024-04-19",1800,1435,"Las Vegas",""
"B 52's","2024-04-20",1800,1619,"Las Vegas",""
"BOYS LIKE GIRLS (MH)","2024-05-04",0,0,"Tampa","(813) 884-4386"
"BOYS LIKE GIRLS (MH)","2024-05-05",15000,0,"West Palm Beach","(561) 659-3567"
"Billy Idol (Manhead)","2024-04-03",15000,0,"West Palm Beach","(561) 659-3567"
"Billy Idol (Manhead)","2024-04-05",20000,0,"Atlanta","1-800-745-3000"
"Billy Idol (Manhead)","2024-04-10",0,0,"Flagstaff",""
"Billy Idol (Manhead)","2024-04-11",5500,0,"Tucson","800-344-9435"
"Billy Idol (Manhead)","2024-04-14",2000,0,"Catoosa","800-760-6700"
"Billy Idol (Manhead)","2024-04-16",8000,0,"Lincoln",""
"Billy Idol (Manhead)","2024-04-19",450,0,"Gary",
"Billy Idol (Manhead)","2024-05-03",15000,0,"West Palm Beach","(561) 659-3567"
"Billy Idol (Manhead)","2024-05-05",20000,0,"Atlanta","1-800-745-3000"
"Billy Idol (Manhead)","2024-05-10",0,0,"Flagstaff",""
"Billy Idol (Manhead)","2024-05-11",5500,0,"Tucson","800-344-9435"
"Billy Idol (Manhead)","2024-05-14",2000,0,"Catoosa","800-760-6700"
"Billy Idol (Manhead)","2024-05-16",8000,0,"Lincoln",""
"Billy Idol (Manhead)","2024-05-19",450,0,"Gary",
"Billy Porter (MH)","2024-04-12",0,0,"Miami",""
"Celtic Woman","2024-04-02",0,629,"wheeling",
"Celtic Woman","2024-04-03",2,856,"Syracuse","(315) 435-2121"
"Celtic Woman","2024-04-04",0,1122,"Rochester",
"Clandestine","2024-04-02",11642,9907,"Milwaukee",""
"Clandestine","2024-04-03",13492,8183,"Des Moines","(515) 418-8000"
"Clandestine","2024-04-05",0,11163,"Omaha",""
"Clandestine","2024-04-06",19356,12222,"Minneapolis","(612)673-1600"
"Country Music Association (MH)","2024-06-06",216000,0,"Nashville",""
"Deftones (MH)","2024-04-12",125000,0,"Indio","(760) 342-2762"
"EarthGang","2024-04-06",70000,52,"Raleigh",
"EarthGang","2024-04-18",0,0,"Jacksonville",
"EarthGang","2024-04-19",1100,1000,"Denver","(303) 297-1772"
"EarthGang","2024-04-20",9545,8615,"Morrison",""
"EarthGang","2024-04-21",10000,2113,"Billings","4062562466"
"EarthGang","2024-07-03",20000,0,"Nashville","(615) 770-2000"
"EarthGang","2024-07-05",0,0,"Sunrise",""
"EarthGang","2024-07-06",0,0,"Tampa","813-785-0875"
"EarthGang","2024-07-09",13000,0,"Duluth","770-813-7500"
"EarthGang","2024-07-11",18639,0,"Raleigh","(919) 861-2300"
"EarthGang","2024-07-13",18277,0,"Washington","202-629-3200"
"EarthGang","2024-07-14",19500,0,"Philadelphia","(215) 906-9932"
"EarthGang","2024-07-27",0,0,"Detroit","(313) 471-3200"
"EarthGang","2024-07-28",17500,0,"Rosemont","(847) 635-6601"
"EarthGang","2024-07-31",12317,0,"Cleveland",
"EarthGang","2024-08-02",0,0,"Cincinnati",""
"EarthGang","2024-08-04",18972,0,"Kansas City","(816) 949-7100"
"EarthGang","2024-08-07",19356,0,"Minneapolis","(612)673-1600"
"EarthGang","2024-08-09",0,0,"St Louis","314-622-5422"
"EarthGang","2024-08-11",20000,0,"Denver","303) 405-1100"
"EarthGang","2024-08-14",0,0,"Phoenix",
"EarthGang","2024-08-16",14000,0,"San Diego",""
"EarthGang","2024-08-17",0,0,"Las Vegas",""
"EarthGang","2024-08-20",12000,0,"San Francisco","8884794667"
"EarthGang","2024-08-22",19980,0,"Portland",""
"EarthGang","2024-08-24",18000,0,"Vancouver","(604) 899-7400"
"EarthGang","2024-08-25",17459,0,"Seattle","2069400343"
"Fall Out Boy","2024-04-02",11642,9907,"Milwaukee",""
"Fall Out Boy","2024-04-03",13492,8183,"Des Moines","(515) 418-8000"
"Fall Out Boy","2024-04-05",0,11163,"Omaha",""
"Fall Out Boy","2024-04-06",19356,12222,"Minneapolis","(612)673-1600"
"Gavin DeGraw","2024-05-02",1575,0,"Huntsville",
"Gavin DeGraw","2024-05-03",0,0,"Columbia",""
"Gavin DeGraw","2024-05-04",0,0,"Montgomery","334-481-5100"
"Gavin DeGraw","2024-05-06",0,0,"Mobile","251-433-5958"
"Gavin DeGraw","2024-05-07",1600,0,"Memphis","(901) 316-0175"
"Gavin DeGraw","2024-05-09",1300,0,"Little Rock",
"Gavin DeGraw","2024-05-10",2499,0,"Catoosa","800-760-6700"
"Gavin DeGraw","2024-05-11",5000,0,"Houston","7879556807"
"Gavin DeGraw","2024-05-12",2200,0,"Dallas","214-978-2583"
"Gavin DeGraw","2024-05-14",1400,0,"Kansas City","(816) 205-8560"
"Gavin DeGraw","2024-05-16",1500,0,"Sioux Falls","(605) 357-7377"
"Gavin DeGraw","2024-05-17",1686,0,"Davenport",
"Gavin DeGraw","2024-05-19",1800,0,"Columbus","(614) 884-4646"
"J.I.D.","2024-04-06",0,52000,"Raleigh",
"J.I.D.","2024-05-01",18000,0,"Vancouver","(604) 899-7400"
"J.I.D.","2024-05-03",20000,0,"Auburn","(360) 825-6200"
"J.I.D.","2024-05-05",18000,0,"Ridgefield",""
"J.I.D.","2024-05-07",12000,0,"Inglewood","909-215-4527"
"J.I.D.","2024-05-09",12500,0,"Concord","(925) 676-8742"
"J.I.D.","2024-05-11",0,0,"Phoenix",""
"J.I.D.","2024-05-12",15000,0,"Albuquerque","505-553-0587"
"J.I.D.","2024-05-14",14000,0,"Del Valle","512-301-6600"
"J.I.D.","2024-05-15",0,0,"Dallas",""
"J.I.D.","2024-05-16",3870,0,"Irving","(817) 455-1723"
"J.I.D.","2024-05-18",7000,0,"Rogers",""
"J.I.D.","2024-05-19",18000,0,"Maryland Heights","636-866-1045"
"J.I.D.","2024-05-21",26000,0,"Chicago",""
"J.I.D.","2024-05-22",16000,0,"Cincinnati","(513) 232-6220"
"J.I.D.","2024-05-23",24000,0,"Noblesville",""
"J.I.D.","2024-05-25",32800,0,"Toronto","4162605700 EXT37831"
"J.I.D.","2024-05-28",14000,0,"Detroit","313-471-7000"
"J.I.D.","2024-05-29",20000,0,"Cuyahoga Falls",""
"J.I.D.","2024-05-31",20000,0,"Mansfield","15088646974"
"J.I.D.","2024-06-01",21000,0,"Hartford",""
"J.I.D.","2024-06-02",25000,0,"Bristow",""
"J.I.D.","2024-06-04",20000,0,"Virginia Beach","(757) 368-3000"
"J.I.D.","2024-06-05",0,0,"Simpsonville","864-296-6601"
"J.I.D.","2024-06-06",18500,0,"Charlotte","704-200-5450"
"J.I.D.","2024-06-09",25000,0,"Camden",""
"J.I.D.","2024-06-11",10000,0,"Pelham","(615) 613-4389"
"J.I.D.","2024-06-13",17000,0,"West Palm Beach","954-599-9033"
"J.I.D.","2024-06-14",20000,0,"Tampa","813-389-3145"
"J.I.D.","2024-06-15",19000,0,"Atlanta","(404) 443-5090"
"J.I.D.","2024-07-06",0,0,"Milwaukee","414-902-4400"
"JXDN","2024-07-04",0,0,"Milwaukee","(414) 273-2680"
"JXDN","2024-07-06",1550,0,"Minneapolis","612-338-8388"
"JXDN","2024-07-07",0,0,"Chicago",""
"JXDN","2024-07-09",0,0,"Detroit",
"JXDN","2024-07-10",2400,0,"Pittsburgh","(412)229-5483"
"JXDN","2024-07-12",0,0,"Brooklyn","(888) 929-7849"
"JXDN","2024-07-13",1500,0,"Boston","(617) 338-7699"
"JXDN","2024-07-14",1200,0,"Washington","202-265-0930"
"JXDN","2024-07-17",1450,0,"Atlanta","(404) 843-2825"
"JXDN","2024-07-19",5000,0,"Houston","7879556807"
"JXDN","2024-07-20",2400,0,"Dallas",
"JXDN","2024-07-22",1100,0,"Englewood","(303) 788-0984"
"JXDN","2024-07-24",2500,0,"Salt Lake City","8085579360"
"JXDN","2024-07-26",2325,0,"San Francisco","(415) 673-5716"
"JXDN","2024-07-27",1500,0,"Los Angeles","(213) 746-5670"
"Jelly Roll (MH)","2024-04-11",75000,18000,"Florence","866.802.6418"
"Jelly Roll (MH)","2024-04-24",2200,2000,"Detroit","(313)961-5451"
"Jelly Roll (MH)","2024-04-26",85000,0,"Indio","(760) 342-2762"
"Jelly Roll (MH)","2024-05-04",0,0,"Austin",""
"Jelly Roll (MH)","2024-05-05",0,0,"Memphis",
"Jelly Roll (MH)","2024-05-10",0,0,"Daytona Beach",
"Jelly Roll (MH)","2024-05-14",6000,0,"Fort Worth","817-998-7234"
"Jelly Roll (MH)","2024-05-31",20,0,"Panama City Beach","(615) 340-9500"
"Jelly Roll (MH)","2024-06-06",0,0,"Clinton",
"Jelly Roll (MH)","2024-06-21",14980,0,"Mack",""
"Jelly Roll (MH)","2024-06-22",0,0,"North Platte","(308) 532-7939"
"Kameron Marlowe (MH)","2024-04-04",475,804,"Nacogdoches",""
"Kameron Marlowe (MH)","2024-04-05",2300,2300,"Fort Worth","817-998-7234"
"Kameron Marlowe (MH)","2024-04-06",800,1500,"Stillwater","4053770076"
"Kameron Marlowe (MH)","2024-04-18",990,0,"Vancouver","604.739.4550"
"Kameron Marlowe (MH)","2024-04-19",850,1804,"Airway Heights",
"Kameron Marlowe (MH)","2024-04-20",1450,1470,"Portland","(503) 225-0047"
"Kameron Marlowe (MH)","2024-04-21",1800,1503,"Seattle","(206) 652-0444"
"Kameron Marlowe (MH)","2024-04-24",1100,675,"Great Falls",
"Kameron Marlowe (MH)","2024-04-25",500,0,"Billings","406-671-8565"
"Kameron Marlowe (MH)","2024-04-26",1854,0,"Deadwood","605-559-0386"
"Kameron Marlowe (MH)","2024-04-27",800,0,"Sioux Falls","(605) 357-7377"
"Kameron Marlowe (MH)","2024-05-04",4000,0,"Hattiesburg","6015837500"
"Kameron Marlowe (MH)","2024-05-09",700,0,"Springfield","217-412-8139"
"Kameron Marlowe (MH)","2024-05-10",0,0,"Columbus",
"Kameron Marlowe (MH)","2024-05-11",1720,0,"Franklin","937-746-4950"
"Kameron Marlowe (MH)","2024-05-17",2500,0,"Amarillo","1 (806) 372-6000"
"Kameron Marlowe (MH)","2024-05-23",0,0,"Fort Myers",""
"Kameron Marlowe (MH)","2024-05-26",140000,0,"Concord parkway south","(704) 455-3200"
"Lainey Wilson (MH)","2024-04-16",1850,1500,"Belfast","+44 28 9033 4400"
"Lainey Wilson (MH)","2024-04-17",1850,1164,"Belfast","+44 28 9033 4400"
"Lainey Wilson (MH)","2024-04-19",0,0,"Glasgow",""
"Lainey Wilson (MH)","2024-04-20",2600,2241,"Manchester","+44 161 232 1639"
"Lainey Wilson (MH)","2024-04-23",0,2160,"London",""
"Lainey Wilson (MH)","2024-04-24",0,2227,"London",""
"Lainey Wilson (MH)","2024-04-25",400,0,"Amsterdam","+31 20 531 8181"
"Lainey Wilson (MH)","2024-04-29",0,0,"Cologne",""
