account_uuid,name,category,uuid,productType,sku,size,price
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Photo Tour Tee,APPAREL,merchItem_21674b94-4619-4357-9a94-b127102ccfef,T-Shirt,,S,0.25e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Photo Tour Tee,APPAREL,merchItem_21674b94-4619-4357-9a94-b127102ccfef,T-Shirt,,M,0.25e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Photo Tour Tee,APPAREL,merchItem_21674b94-4619-4357-9a94-b127102ccfef,T-Shirt,,L,0.25e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Photo Tour Tee,APPAREL,merchItem_21674b94-4619-4357-9a94-b127102ccfef,T-Shirt,,XL,0.25e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Photo Tour Tee,APPAREL,merchItem_21674b94-4619-4357-9a94-b127102ccfef,T-Shirt,,2XL,0.25e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Ladies Bolt Tee,APPAREL,merchItem_9c5f7d9d-e3e6-468d-b0e7-6fa785e1d313,T-Shirt,,S,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Ladies Bolt Tee,APPAREL,merchItem_9c5f7d9d-e3e6-468d-b0e7-6fa785e1d313,T-Shirt,,M,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Ladies Bolt Tee,APPAREL,merchItem_9c5f7d9d-e3e6-468d-b0e7-6fa785e1d313,T-Shirt,,L,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Ladies Bolt Tee,APPAREL,merchItem_9c5f7d9d-e3e6-468d-b0e7-6fa785e1d313,T-Shirt,,XL,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Ladies Bolt Tee,APPAREL,merchItem_9c5f7d9d-e3e6-468d-b0e7-6fa785e1d313,T-Shirt,,2XL,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Lightening Hatch Tee,APPAREL,merchItem_e62e148f-9515-4272-b79c-5494ddef37d0,T-Shirt,,S,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Lightening Hatch Tee,APPAREL,merchItem_e62e148f-9515-4272-b79c-5494ddef37d0,T-Shirt,,M,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Lightening Hatch Tee,APPAREL,merchItem_e62e148f-9515-4272-b79c-5494ddef37d0,T-Shirt,,L,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Lightening Hatch Tee,APPAREL,merchItem_e62e148f-9515-4272-b79c-5494ddef37d0,T-Shirt,,XL,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Lightening Hatch Tee,APPAREL,merchItem_e62e148f-9515-4272-b79c-5494ddef37d0,T-Shirt,,2XL,0.3e2
acct_a679ad56-51e4-4a35-8f4d-bbdc1285cae4,Blue Lightening Tee,APPAREL,merchItem_f269c25e-40d3-4b2e-95f4-11b6b8a7a14d,T-Shirt,,S,0.3e2
