artistName,account_uuid,tour_name,tour_uuid,show_uuid,showDate,showEndDate,state,attendance,capacity,currencyFormat,location
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_2b94ef08-a9bf-481c-80b8-eb8b23a30a30,2023-07-12,2023-07-12,DONE,0,2750,USD,"Sandy, UT, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_c789c09c-d3ed-472d-8aea-8d21f953dd5b,2023-07-21,2023-07-21,CANCELLED,0,2000,USD,"Robinsonville, MS, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_035b95c3-209a-4189-9d48-6c6b89be7319,2023-07-22,2023-07-22,DONE,0,2650,USD,"Tulsa, OK, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_b3077738-8427-4dbc-8c64-6b84e2913012,2023-07-23,2023-07-23,DONE,1649,1640,USD,"San Antonio, TX, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_be8af9fa-6099-4804-9d09-1f4102c5cdb3,2023-07-28,2023-07-28,DONE,2824,3000,USD,"Lafayette, IN, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_2e9468da-8d8b-4a6d-97ed-033273b1b30f,2023-07-29,2023-07-29,DONE,1260,1500,USD,"Wabash, IN, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_59d55420-2da9-4420-8cfa-7497fecabb2b,2023-07-30,2023-07-30,DONE,3800,0,USD,"Council Bluffs, IA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_2ff03b85-01bb-453b-8bda-59ad3de9a493,2023-08-04,2023-08-04,DONE,3029,0,USD,"Atlantic City, NJ, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_b9b1b20b-40dc-40ab-aca7-b1ee09f61fd6,2023-08-05,2023-08-05,DONE,2592,2800,USD,"Westbury, NY, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_cb65b56f-c9ce-4dd0-af63-ca721bbadf34,2023-08-06,2023-08-06,DONE,1580,1600,USD,"Lancaster, PA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_3f902ef8-f956-4e08-a013-706dca9d415f,2023-08-11,2023-08-11,DONE,1420,0,USD,"Mt Vernon, KY, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_bed9708c-f487-4711-8a1f-c2594bea7c3d,2023-08-12,2023-08-12,DONE,850,962,USD,"Elizabeth, IN, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_7897ef8b-15fe-4b09-9f13-64a63c8f917c,2023-08-17,2023-08-17,DONE,1404,2710,USD,"Bakersfield, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_52d43a53-c5e7-4aea-b9ab-f7be0a591729,2023-08-18,2023-08-18,DONE,1100,0,USD,"Fresno, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_8e270e0b-fe05-489b-81d0-46593f740774,2023-08-19,2023-08-19,DONE,3218,0,USD,"Modesto, CA, United States"
Air Supply,acct_a8a31910-3500-4151-89b5-61b1a2ccb259,US Tour 2023 Q3 (Jul-Sep),tour_40bb2599-f86b-467a-a3d4-c0f97f994c30,show_ab8015b4-6dbc-496b-a0ee-26ad03b50515,2023-09-01,2023-09-02,DONE,1580,816,USD,"Las Vegas, NV, United States"
